user_id,category_id,ads
48,800,"[2722371, 2851480, 2821780, 2788587, 2166829, 1607527, 1197751, 2853801, 2853548, 2841215]"
49,887,"[1420403, 488244, 471806, 2818353, 2806582, 2765463, 2694943, 2558565, 2552216, 2520330]"
49,811,"[2899362, 2624021, 2753896, 2881080, 2307351, 2817979, 2899968, 2823276, 2861011, 2203425]"
49,800,"[2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589, 2732959, 2839495]"
51,815,"[2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540, 2920781, 2885081, 2479615]"
61,806,"[1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851, 2917387]"
67,800,"[2732769, 2707599, 2686876, 2629515, 2591429, 2059650, 2096150, 2751776, 2622155, 2704287]"
67,888,"[2780213, 2376388, 2521928, 2388050, 2882472, 2873541, 2246591, 2880088, 2895915, 2839650]"
72,888,"[2607818, 2521171, 2760084, 2790767, 2735740, 2735182, 2728762, 2602203, 2145988, 1553298]"
72,806,"[406466, 2463118, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405]"
76,815,"[2769930, 2624810, 2617810, 2734180, 2724170, 2573259, 2497232, 2882036, 2827310, 2892684]"
76,853,"[1252446, 2714402, 2871638, 2893130, 2535492, 2874121, 1998679, 1960504, 2783747, 2914974]"
79,815,"[2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540, 2920781, 2885081, 2479615]"
81,888,"[1998133, 516853, 2462221, 2183005, 1125664, 568353, 2856956, 2696148, 2594927, 2580572]"
81,800,"[2792028, 2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589, 2732959]"
90,887,"[2802433, 2417119, 2356002, 2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728]"
90,815,"[2862362, 2706369, 458280, 2826345, 663816, 2851799, 2849855, 2847403, 2847385, 2836944]"
92,800,"[2430639, 2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589, 2732959]"
93,888,"[2882472, 2873541, 2246591, 2880088, 2895915, 2839650, 2117718, 2909293, 2909131, 1725410]"
94,815,"[2854004, 2672080, 699444, 2854188, 2850244, 2850232, 2848504, 2845949, 2693571, 2326241]"
100,800,"[534725, 2751628, 2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589]"
100,887,"[2309495, 2599339, 2258372, 2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728]"
100,815,"[2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540, 2920781, 2885081, 2479615]"
103,800,"[2829367, 2849853, 2846313, 2837840, 2824827, 2779976, 2773968, 2188273, 2020398, 2891500]"
111,800,"[2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589, 2732959, 2839495]"
113,815,"[2183370, 2098500, 2837811, 2748424, 2838885, 2838518, 2837831, 2836500, 2836494, 2816482]"
115,800,"[2671309, 2855293, 2816336, 2158936, 2802488, 1656810, 2764693, 2619114, 2048336, 330576]"
115,815,"[390274, 2869666, 2834061, 2869745, 2869651, 2829176, 2813611, 2779258, 2865709, 2812937]"
115,853,"[2586040, 2835549, 2090454, 2800388, 2778698, 2548571, 2756390, 2753728, 2748142, 2770152]"
115,888,"[2192600, 2674931, 2866295, 2866250, 2866137, 2647791, 2831624, 2782224, 2502555, 2764962]"
118,806,"[2811276, 2438750, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405]"
121,815,"[1542045, 2780373, 2777815, 2163066, 1963158, 1928818, 163363, 2718240, 2332274, 2644757]"
123,806,"[2830861, 2783611, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405]"
131,800,"[2866007, 2126563, 986312, 2623399, 1749973, 1658560, 986546, 2804628, 2802685, 2640822]"
131,887,"[2662833, 2582816, 2437183, 1828096, 2733779, 2474054, 2390917, 2225094, 2108036, 2061614]"
142,806,"[859192, 513954, 2676084, 2670659, 2444520, 2407724, 2384768, 2288050, 2269244, 1803999]"
144,806,"[1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851, 2917387]"
144,887,"[2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728, 2238881, 2041846, 854802]"
146,815,"[2867504, 2856637, 2687694, 2182890, 2882036, 2827310, 2892684, 2831841, 2888041, 2897623]"
148,881,"[2658874, 2519991, 2880278, 2889904, 2662331, 2648807, 2794828, 2654862, 2715758, 2579214]"
149,815,"[2526595, 2316191, 995520, 720167, 2858071, 2852054, 2841585, 2840242, 2820770, 2812343]"
149,888,"[2810486, 2762073, 2686427, 2158842, 1749553, 653815, 2816843, 2796767, 2786729, 2769511]"
156,800,"[2818304, 2816630, 2806603, 2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844]"
161,853,"[2384662, 1718616, 2800843, 2087419, 2005563, 977674, 2827174, 2746671, 2264662, 2207811]"
161,811,"[2899362, 2624021, 2753896, 2881080, 2307351, 2817979, 2899968, 2823276, 2861011, 2203425]"
162,800,"[986456, 2655030, 651293, 429405, 2855594, 2032534, 1526303, 2844876, 2842880, 2891500]"
162,853,"[2873067, 2820449, 2797992, 2772345, 2812025, 2805116, 2763550, 2533670, 2856471, 2851171]"
165,881,"[2658874, 2519991, 2880278, 2889904, 2662331, 2648807, 2794828, 2654862, 2715758, 2579214]"
165,806,"[1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851, 2917387]"
165,815,"[2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540, 2920781, 2885081, 2479615]"
168,815,"[2847016, 2811512, 2803080, 761596, 2697608, 2882036, 2827310, 2892684, 2831841, 2888041]"
169,806,"[1630713, 491005, 1122997, 2622431, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045]"
173,806,"[2677479, 2850507, 2791011, 2841422, 2595532, 2001762, 1695764, 2809690, 2296787, 2329922]"
174,800,"[2761623, 2153625, 2750486, 254699, 2285884, 2093371, 1039696, 2891500, 2898379, 2911000]"
183,800,"[2811213, 2851480, 2796751, 2733750, 2717135, 2706652, 2701028, 2666485, 2682689, 2489443]"
184,815,"[921685, 2442631, 2872316, 2872164, 2872140, 2867054, 2814432, 2744055, 2442618, 837781]"
186,800,"[2053233, 2734060, 2710449, 2041045, 454903, 2770591, 2764620, 2749959, 2104959, 1560380]"
186,853,"[2626491, 1555127, 2871638, 2893130, 2535492, 2874121, 1998679, 1960504, 2783747, 2914974]"
186,815,"[2651445, 2383471, 1994752, 2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540]"
188,815,"[2866392, 2830220, 2496938, 2403332, 2817294, 2501634, 2801504, 2784518, 2561082, 2494071]"
192,887,"[2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728, 2238881, 2041846, 854802]"
192,888,"[2882472, 2873541, 2246591, 2880088, 2895915, 2839650, 2117718, 2909293, 2909131, 1725410]"
195,806,"[2804693, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851]"
203,800,"[2733490, 1516802, 2683374, 2645546, 2606698, 2025739, 1267558, 2891500, 2898379, 2911000]"
205,362,"[2828517, 2155129, 2800593, 2853312, 2829222, 2811185, 2804639, 2796468, 2563979, 2314777]"
205,800,"[484097, 2803121, 2339757, 2435652, 2154828, 2664024, 2891500, 2898379, 2911000, 2898476]"
207,815,"[2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540, 2920781, 2885081, 2479615]"
210,811,"[2456853, 2617208, 2283379, 2164255, 1960105, 1777790, 2225968, 2080387, 1802517, 1220792]"
210,800,"[2194211, 2089001, 1773631, 2008037, 1978110, 2891500, 2898379, 2911000, 2898476, 2031170]"
213,806,"[2700623, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851]"
214,806,"[2850634, 2646928, 2348895, 1396379, 1346405, 2800707, 2689693, 2489425, 2299979, 1497157]"
215,815,"[2051433, 2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540, 2920781, 2885081]"
220,800,"[2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589, 2732959, 2839495]"
231,800,"[2173994, 2823571, 2842810, 1736188, 2805707, 2792632, 2734459, 2673348, 2571805, 2196460]"
234,815,"[2672841, 2442179, 2424741, 1759305, 1344660, 2770621, 2609395, 851746, 2849906, 2687654]"
234,853,"[2810212, 2781164, 2045295, 1994190, 1783018, 1659707, 1613733, 2764596, 2731861, 2871638]"
238,888,"[2882472, 2873541, 2246591, 2880088, 2895915, 2839650, 2117718, 2909293, 2909131, 1725410]"
238,806,"[2679443, 2707060, 2704380, 2661567, 2602122, 2564901, 2456130, 1306767, 1720784, 2886467]"
245,888,"[2882472, 2873541, 2246591, 2880088, 2895915, 2839650, 2117718, 2909293, 2909131, 1725410]"
249,806,"[2762457, 2766303, 2453028, 1042688, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045]"
249,815,"[2659770, 2839628, 2576933, 2849354, 2832940, 2825725, 2817559, 2828307, 2563626, 2798197]"
253,362,"[378873, 2179926, 1804380, 1712278, 2606976, 2406697, 2598159, 2853312, 2705180, 2839263]"
253,815,"[2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540, 2920781, 2885081, 2479615]"
253,888,"[2751469, 2481168, 2151068, 1280096, 2605835, 742611, 2470672, 2882472, 2873541, 2246591]"
256,800,"[2231344, 2830238, 2739908, 2317668, 2891500, 2898379, 2911000, 2898476, 2031170, 2877849]"
259,800,"[2820406, 2872383, 2739295, 2711631, 2699278, 2586507, 2030107, 2850280, 2838117, 2820657]"
269,815,"[688871, 298623, 2682775, 2862696, 2858790, 2858191, 2852786, 2841134, 2678012, 2651166]"
269,362,"[1275454, 2520700, 1275840, 2776180, 2696406, 2802434, 1675331, 1584381, 2760807, 2242130]"
269,800,"[2851002, 2859551, 2222275, 2076038, 696907, 2856032, 2853509, 2850519, 2844421, 2832628]"
270,806,"[1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851, 2917387]"
274,800,"[2769430, 2506528, 2713651, 2712356, 2254786, 2636336, 2891500, 2898379, 2911000, 2898476]"
277,815,"[2591129, 2838109, 2864657, 2863272, 2862380, 2859606, 2859171, 2321885, 1439585, 2769220]"
278,881,"[2658874, 2519991, 2880278, 2889904, 2662331, 2648807, 2794828, 2654862, 2715758, 2579214]"
279,853,"[2595929, 1604471, 2866527, 2843445, 2842104, 2842080, 2829636, 2751520, 2665922, 2207063]"
279,815,"[2858191, 2850814, 2749478, 2789383, 2817142, 2826830, 2824699, 2824150, 2763464, 2696948]"
280,888,"[658965, 2863743, 2857420, 2844124, 2882472, 2873541, 2246591, 2880088, 2895915, 2839650]"
280,806,"[2845364, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851]"
280,800,"[1582319, 2751717, 1524996, 2859953, 2848729, 2470531, 2865418, 2770802, 2748528, 2713273]"
283,888,"[2882472, 2873541, 2246591, 2880088, 2895915, 2839650, 2117718, 2909293, 2909131, 1725410]"
283,815,"[2832940, 2740414, 2738984, 2632406, 2882036, 2827310, 2892684, 2831841, 2888041, 2897623]"
283,806,"[2809690, 2777353, 2612208, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600]"
287,362,"[2406697, 2598159, 2853312, 2705180, 2839263, 2137557, 2437215, 2102301, 2877844, 2669657]"
291,806,"[1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851, 2917387]"
293,806,"[1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851, 2917387]"
295,815,"[2078932, 2830914, 2680210, 2650456, 2845090, 2838374, 2662905, 2361455, 2234932, 2121083]"
297,800,"[2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589, 2732959, 2839495]"
299,887,"[2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728, 2238881, 2041846, 854802]"
305,806,"[2865886, 2825455, 2809690, 2687677, 2796998, 2276159, 946145, 1705046, 2065030, 319362]"
310,815,"[2840992, 2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540, 2920781, 2885081]"
310,811,"[2899362, 2624021, 2753896, 2881080, 2307351, 2817979, 2899968, 2823276, 2861011, 2203425]"
316,806,"[2615093, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851]"
317,853,"[2871638, 2893130, 2535492, 2874121, 1998679, 1960504, 2783747, 2914974, 2824030, 2708738]"
317,815,"[2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540, 2920781, 2885081, 2479615]"
317,887,"[2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728, 2238881, 2041846, 854802]"
317,881,"[2658874, 2519991, 2880278, 2889904, 2662331, 2648807, 2794828, 2654862, 2715758, 2579214]"
318,859,"[2862231, 2839286, 2223364, 216016, 977107, 1947674, 1909057, 2809275, 2779872, 2677381]"
323,887,"[2864957, 595863, 2852082, 2851886, 1827649, 469983, 2814725, 2728828, 2714299, 2619685]"
323,800,"[2867876, 2862513, 2852879, 2603365, 2807282, 2856439, 2855122, 2855017, 2845806, 2241493]"
328,853,"[2669023, 2666324, 2625005, 2871638, 2893130, 2535492, 2874121, 1998679, 1960504, 2783747]"
333,815,"[1812413, 2852907, 2806770, 2796911, 2794100, 2793165, 2792115, 2582417, 1534486, 839967]"
333,800,"[2858497, 2324940, 2841107, 2767754, 2393418, 2001414, 2656358, 2023254, 2891500, 2898379]"
338,888,"[2716039, 2882472, 2873541, 2246591, 2880088, 2895915, 2839650, 2117718, 2909293, 2909131]"
338,859,"[1909909, 2567368, 2880807, 2796775, 2677381, 2690834, 2839810, 2458473, 2721400, 2876623]"
338,800,"[2813608, 2718986, 2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589]"
341,815,"[2722971, 2722539, 2721576, 2721298, 2720279, 2719760, 2719512, 2719400, 2705969, 2673068]"
345,853,"[2499131, 1732718, 2810912, 2750489, 2676153, 2676044, 2426062, 2126185, 2090386, 1965497]"
351,887,"[2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728, 2238881, 2041846, 854802]"
354,800,"[1755917, 2727804, 2706334, 2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844]"
357,362,"[2833119, 1658559, 2822617, 1979138, 1653741, 2511735, 595027, 2711089, 2710528, 2406697]"
358,362,"[754949, 2872788, 2850873, 2762188, 2757104, 2661643, 2191097, 2857555, 1516103, 2815152]"
358,806,"[2872820, 2775837, 2600609, 2396663, 2840559, 2772265, 1427511, 705456, 1791987, 798034]"
361,806,"[1998811, 2324487, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405]"
361,859,"[2059237, 2567368, 2880807, 2796775, 2677381, 2690834, 2839810, 2458473, 2721400, 2876623]"
363,853,"[1818942, 450693, 2762930, 2650524, 2745497, 2448741, 2347728, 696811, 2539733, 2246222]"
365,806,"[1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851, 2917387]"
365,815,"[2819721, 2831841, 2776717, 2860001, 2297464, 91103, 554755, 2868510, 2858198, 2848830]"
372,806,"[2854893, 2854162, 2852397, 2554472, 2695534, 2683973, 2373722, 2234367, 2342122, 1720784]"
373,887,"[2841346, 562741, 2807738, 2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728]"
373,888,"[2515769, 2513092, 2440946, 2745670, 2713280, 2591286, 2491215, 2381160, 2356659, 2324965]"
373,800,"[2627117, 2424932, 2852286, 2818770, 2591097, 2408655, 2715696, 2321074, 1942191, 2696706]"
374,815,"[2659761, 2811413, 2794344, 2793507, 2793504, 2788370, 2760407, 2741841, 2703413, 2696180]"
374,853,"[898429, 2683566, 2445298, 2260575, 2077865, 2027418, 1019895, 2871638, 2893130, 2535492]"
376,800,"[2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589, 2732959, 2839495]"
381,815,"[2863431, 2587360, 2827590, 2816482, 2678741, 2673796, 2400837, 2239713, 2095783, 2095226]"
383,806,"[2730742, 2822778, 1615869, 881956, 2872468, 2871412, 2871139, 2868054, 2867842, 2683197]"
393,806,"[1527090, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851]"
394,800,"[2839495, 2844002, 2552890, 2676479, 2225906, 1521061, 2732769, 2656899, 2186854, 2172046]"
400,888,"[2428793, 2882472, 2873541, 2246591, 2880088, 2895915, 2839650, 2117718, 2909293, 2909131]"
400,815,"[2811997, 2756724, 1933080, 2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540]"
402,853,"[2871638, 2893130, 2535492, 2874121, 1998679, 1960504, 2783747, 2914974, 2824030, 2708738]"
402,887,"[2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728, 2238881, 2041846, 854802]"
404,815,"[2652774, 427780, 2800850, 2388761, 2025306, 1968444, 497020, 643422, 2845379, 59970]"
415,815,"[2092561, 2868220, 2792952, 2188994, 2862409, 2858427, 2396236, 2242395, 2188931, 2188901]"
415,806,"[2866353, 2867635, 2867506, 2397499, 1583316, 2861471, 2182482, 2041180, 2600186, 2837679]"
416,815,"[2869992, 2855938, 1924357, 1929688, 2846803, 2842950, 2796911, 2827919, 2539761, 2480867]"
421,888,"[2788209, 2882472, 2873541, 2246591, 2880088, 2895915, 2839650, 2117718, 2909293, 2909131]"
429,806,"[2807357, 2568654, 2462426, 2343482, 2136856, 1421290, 2495995, 2484357, 1633339, 2754990]"
431,806,"[1324464, 2872635, 2872038, 2871626, 2871360, 2870865, 2870844, 2870737, 2870330, 2870132]"
441,800,"[2276096, 2222275, 2860657, 2853596, 2853535, 2848298, 2787666, 2726977, 2636035, 2185708]"
441,888,"[2813293, 929058, 2882472, 2873541, 2246591, 2880088, 2895915, 2839650, 2117718, 2909293]"
441,806,"[1808046, 2741608, 2785080, 2781978, 2689302, 2501586, 2284115, 2030228, 1798051, 1730127]"
443,815,"[2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540, 2920781, 2885081, 2479615]"
445,806,"[2862556, 2859678, 2689316, 2106211, 1356781, 1119741, 2339860, 2634978, 2773289, 2252211]"
445,815,"[2709927, 2841285, 837781, 2693922, 120283, 2791573, 2693374, 2761236, 2556774, 2759971]"
445,853,"[2868680, 2807457, 2572838, 2564432, 2153131, 2845842, 2842442, 2821577, 2821306, 871431]"
446,815,"[2870886, 2230048, 200458, 2864848, 2632808, 2611031, 2501634, 2405006, 2882036, 2827310]"
446,806,"[961360, 2865998, 1649656, 2866160, 2866016, 1720784, 2886467, 2835598, 2895717, 2825149]"
447,806,"[2510777, 343474, 2794199, 2726911, 1648224, 318807, 2768242, 2659383, 2627720, 2252022]"
449,800,"[2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589, 2732959, 2839495]"
451,811,"[2382847, 2174066, 2584980, 1837030, 2658389, 2593367, 2017634, 1951024, 2781424, 2664961]"
451,800,"[952098, 2717957, 1276929, 2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844]"
451,853,"[1079226, 2871638, 2893130, 2535492, 2874121, 1998679, 1960504, 2783747, 2914974, 2824030]"
457,806,"[1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851, 2917387]"
463,888,"[2872650, 2712811, 2717562, 2551784, 2534632, 2474551, 2001350, 2776714, 2129735, 2524803]"
463,800,"[2813617, 2866292, 1384399, 2763175, 2787536, 2671714, 2252861, 2157739, 2716820, 2719996]"
466,888,"[2868833, 2866897, 2702831, 2882472, 2873541, 2246591, 2880088, 2895915, 2839650, 2117718]"
466,853,"[1942113, 1416246, 766051, 395556, 2820218, 2699269, 2076724, 2074401, 1038327, 2706112]"
474,806,"[2428403, 1247408, 2768126, 2768066, 830657, 1786307, 2662615, 1720784, 2886467, 2835598]"
477,811,"[2899362, 2624021, 2753896, 2881080, 2307351, 2817979, 2899968, 2823276, 2861011, 2203425]"
479,800,"[2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589, 2732959, 2839495]"
492,806,"[2707061, 2639614, 2583255, 2544492, 1754788, 1623672, 997296, 74808, 2612406, 2373872]"
492,815,"[2090699, 1068643, 605373, 2597428, 2710928, 2882036, 2827310, 2892684, 2831841, 2888041]"
499,806,"[1810636, 2125723, 2862313, 2860572, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045]"
499,815,"[525610, 517822, 2429188, 2825286, 2541764, 2175725, 529326, 519761, 516300, 422844]"
499,888,"[2524181, 2429147, 2679065, 2882472, 2873541, 2246591, 2880088, 2895915, 2839650, 2117718]"
504,800,"[2891500, 2898379, 2911000, 2898476, 2031170, 2877849, 2869844, 2874589, 2732959, 2839495]"
505,888,"[2702962, 2590630, 93075, 578771, 2841893, 2756702, 2732022, 2552584, 2552549, 2463461]"
508,806,"[2833254, 327189, 2761240, 2628913, 2611704, 2563006, 2424166, 2346191, 2050440, 1925756]"
509,853,"[2731105, 1949504, 2756757, 2838730, 2823780, 2812920, 2539327, 200512, 2871638, 2893130]"
509,815,"[2869092, 2869155, 2869143, 2119061, 2040490, 2353979, 2860133, 2795992, 2781271, 2376314]"
511,806,"[1641445, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851]"
512,806,"[1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851, 2917387]"
513,887,"[2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728, 2238881, 2041846, 854802]"
513,806,"[2442867, 842337, 515375, 1611979, 1491027, 1324883, 1109504, 1720784, 2886467, 2835598]"
514,859,"[2567312, 2794810, 2486889, 2716648, 2335454, 842212, 2669275, 2003930, 2567368, 2880807]"
519,800,"[2758704, 2513207, 2753202, 2699278, 2503257, 1831685, 2594458, 2891500, 2898379, 2911000]"
520,888,"[2808064, 2797472, 2724422, 2882472, 2873541, 2246591, 2880088, 2895915, 2839650, 2117718]"
520,800,"[2868330, 2866812, 2866389, 2044940, 2822447, 2813041, 1778294, 2816630, 2798531, 345667]"
523,362,"[1948757, 2801252, 2624233, 1136253, 952338, 592791, 2816841, 2753095, 2668259, 2583737]"
526,881,"[2658874, 2519991, 2880278, 2889904, 2662331, 2648807, 2794828, 2654862, 2715758, 2579214]"
526,853,"[2871638, 2893130, 2535492, 2874121, 1998679, 1960504, 2783747, 2914974, 2824030, 2708738]"
526,806,"[1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851, 2917387]"
539,800,"[2814436, 2745632, 2200739, 1742452, 2891500, 2898379, 2911000, 2898476, 2031170, 2877849]"
543,800,"[2632136, 2631829, 2625873, 2863073, 2842897, 2699882, 2572175, 2442161, 2637889, 2891500]"
546,815,"[2882036, 2827310, 2892684, 2831841, 2888041, 2897623, 2888540, 2920781, 2885081, 2479615]"
550,887,"[468715, 2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728, 2238881, 2041846]"
550,815,"[2020617, 2832061, 1995944, 1516684, 575821, 2757149, 2753958, 1817570, 2509891, 2866650]"
551,888,"[2866453, 2687224, 2803840, 2714647, 2417754, 2763299, 2720559, 2645086, 2696216, 2692713]"
551,800,"[2641135, 2303847, 2182268, 2061638, 2891500, 2898379, 2911000, 2898476, 2031170, 2877849]"
551,887,"[2609859, 2300830, 2225562, 1540530, 214332, 1984853, 446105, 2568316, 2343027, 2085088]"
551,806,"[2746720, 2543274, 2225573, 2710512, 2697154, 386493, 1122974, 2409533, 2402003, 2650889]"
552,806,"[874459, 1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851]"
552,887,"[2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728, 2238881, 2041846, 854802]"
553,815,"[2861817, 2666090, 2862327, 2863669, 2861635, 2861087, 2860349, 2859526, 2859264, 2857721]"
559,811,"[2764838, 2356961, 2245534, 2899362, 2624021, 2753896, 2881080, 2307351, 2817979, 2899968]"
562,853,"[2805820, 624529, 2872747, 2872248, 2872015, 2871719, 2781373, 2750489, 2732835, 2715717]"
562,887,"[2829864, 2416400, 2870873, 2677927, 2851216, 2512096, 2906282, 2362087, 2651728, 2238881]"
562,362,"[717837, 341277, 2853312, 2254939, 1714622, 2817794, 2743854, 2065605, 2406697, 2598159]"
568,806,"[2772417, 2700089, 2861161, 2676946, 2446985, 2668253, 2616499, 2483427, 1897308, 2613158]"
572,362,"[2406697, 2598159, 2853312, 2705180, 2839263, 2137557, 2437215, 2102301, 2877844, 2669657]"
573,811,"[2899362, 2624021, 2753896, 2881080, 2307351, 2817979, 2899968, 2823276, 2861011, 2203425]"
573,362,"[997867, 2158397, 202107, 1925751, 1346848, 2794911, 725937, 2406697, 2598159, 2853312]"
575,888,"[2712819, 830673, 2832527, 2570479, 2742759, 1299015, 1643828, 2633368, 2321934, 1725410]"
576,806,"[2812411, 1993593, 1053760, 2730676, 2650116, 2496625, 1631011, 1720784, 2886467, 2835598]"
580,815,"[2852385, 2136002, 914477, 390274, 2606674, 2287068, 2061052, 1893010, 921004, 422174]"
582,806,"[1720784, 2886467, 2835598, 2895717, 2825149, 2896045, 2742600, 1346405, 2870851, 2917387]"
589,806,"[2864277, 2707616, 2698342, 2691275, 2485371, 2408036, 1225679, 1225428, 2622019, 1720784]"
593,800,"[2734665, 2860345, 2868315, 2868155, 1598963, 2859134, 2853953, 2851558, 2842944, 2824799]"
593,881,"[2444070, 2870533, 1797165, 2860101, 2804818, 2844735, 2193647, 2856760, 2854897, 2064833]"
